Time,Team1,Team2,Result,Odds1,Odds2,Clean_Result,Profit_Loss
19:30,Royal Challengers Bengaluru,Punjab Kings,,1.86,1.93,,-1000.0
19:30,Mumbai Indians,Punjab Kings,,1.66,2.18,,-1000.0
19:30,Gujarat Titans,Mumbai Indians,Mumbai Indians won by 20 run.,2.33,1.59,Mumbai Indians,-1000.0
19:30,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 8 wickets.,1.93,1.85,Royal Challengers Bengaluru,-1000.0
19:30,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 6 wickets.,2.24,1.64,Royal Challengers Bengaluru,-1000.0
19:30,Mumbai Indians,Punjab Kings,Punjab Kings won by 7 wickets.,1.63,2.24,Punjab Kings,630.0
19:30,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad won by 110 runs.,1.95,1.82,Sunrisers Hyderabad,-1000.0
15:30,Gujarat Titans,Chennai Super Kings,Chennai Super Kings won by 83 runs.,1.53,2.48,Chennai Super Kings,530.0
19:30,Delhi Capitals,Punjab Kings,Delhi Capitals won by 6 wickets.,2.29,1.61,Delhi Capitals,610.0
19:30,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad won by 42 runs.,1.70,2.12,Sunrisers Hyderabad,700.0
19:30,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants won by 33 runs.,1.50,2.57,Lucknow Super Giants,500.0
19:30,Mumbai Indians,Delhi Capitals,Mumbai Indians won by 59 runs.,1.52,2.51,Mumbai Indians,-1000.0
19:30,Chennai Super Kings,Rajasthan Royals,Neutral location.,1.98,1.81,Neutral location.,-1000.0
19:30,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets.,1.71,2.12,Sunrisers Hyderabad,710.0
19:30,Delhi Capitals,Gujarat Titans,Gujarat Titans won by 10 wickets.,2.13,1.70,Gujarat Titans,-1000.0
15:30,Rajasthan Royals,Punjab Kings,Punjab Kings won by 10 runs.,2.11,1.72,Punjab Kings,-1000.0
19:30,Royal Challengers Bengaluru,Kolkata Knight Riders,Match abandoned without a ball bowled.,1.72,2.09,Match abandoned without a ball bowled.,-1000.0
19:30,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 2 wickets.,1.58,2.38,Chennai Super Kings,580.0
19:30,Mumbai Indians,Gujarat Titans,Gujarat Titans won by 3 wickets (DLS method).,1.62,2.28,Gujarat Titans,620.0
19:30,Sunrisers Hyderabad,Delhi Capitals,No result.,1.90,1.90,No result.,0.0
19:30,Punjab Kings,Lucknow Super Giants,Punjab Kings won by 37 runs.,1.86,1.94,Punjab Kings,-1000.0
15:30,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 1 run.,1.64,2.26,Kolkata Knight Riders,-1000.0
19:30,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru won by 2 runs.,1.60,2.33,Royal Challengers Bengaluru,-1000.0
19:30,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans won by 38 runs.,1.77,2.05,Gujarat Titans,-1000.0
19:30,Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 100 runs.,2.47,1.54,Mumbai Indians,-1000.0
19:30,Chennai Super Kings,Punjab Kings,Punjab Kings won by 4 wickets.,2.33,1.60,Punjab Kings,-1000.0
19:30,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders won by 14 runs.,1.79,2.01,Kolkata Knight Riders,790.0
19:30,Rajasthan Royals,Gujarat Titans,Rajasthan Royals won by 8 wickets.,2.14,1.70,Rajasthan Royals,700.0
19:30,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 6 wickets.,1.97,1.83,Royal Challengers Bengaluru,-1000.0
15:30,Mumbai Indians,Lucknow Super Giants,Mumbai Indians won by 54 runs.,1.56,2.42,Mumbai Indians,-1000.0
19:30,Kolkata Knight Riders,Punjab Kings,No result.,1.82,1.98,No result.,0.0
19:30,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 5 wickets.,2.16,1.71,Sunrisers Hyderabad,-1000.0
19:30,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru won by 11 runs.,1.70,2.15,Royal Challengers Bengaluru,-1000.0
19:30,Sunrisers Hyderabad,Mumbai Indians,,2.29,1.62,,-1000.0
19:30,Lucknow Super Giants,Delhi Capitals,Delhi Capitals won by 8 wickets.,1.85,1.94,Delhi Capitals,850.0
19:30,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans won by 39 runs.,1.76,2.05,Gujarat Titans,760.0
19:30,Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 9 wickets.,1.44,2.78,Mumbai Indians,-1000.0
15:30,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 7 wickets.,1.98,1.82,Royal Challengers Bengaluru,-1000.0
19:30,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants won by 2 runs.,1.97,1.83,Lucknow Super Giants,-1000.0
15:30,Gujarat Titans,Delhi Capitals,Gujarat Titans won by 7 wickets.,1.68,2.19,Gujarat Titans,-1000.0
19:30,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings won by 5 wickets.,1.76,2.05,Punjab Kings,760.0
19:30,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians won by 4 wickets.,1.62,2.29,Mumbai Indians,-1000.0
19:30,Delhi Capitals,Rajasthan Royals,Match Tied - Delhi Capitals won the Super Over.,1.85,1.96,Match Tied - Delhi Capitals,0.0
19:30,Punjab Kings,Kolkata Knight Riders,Punjab Kings won by 16 runs.,1.93,1.87,Punjab Kings,870.0
19:30,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings won by 5 wickets.,1.65,2.24,Chennai Super Kings,650.0
19:30,Delhi Capitals,Mumbai Indians,Mumbai Indians won by 12 runs.,2.14,1.70,Mumbai Indians,-1000.0
15:30,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 9 wickets.,2.08,1.74,Royal Challengers Bengaluru,-1000.0
19:30,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 8 wickets.,1.85,1.95,Sunrisers Hyderabad,-1000.0
15:30,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants won by 6 wickets.,2.09,1.74,Lucknow Super Giants,740.0
19:30,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets.,2.20,1.67,Kolkata Knight Riders,-1000.0
TOTAL,Home Wins: 15,Away Wins: 27,,,,,-20000.0
